300000000
NPU load:  Core0: 70%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 76%, Core1: 15%, Core2:  0%,
NPU load:  Core0: 65%, Core1: 29%, Core2:  0%,
NPU load:  Core0: 77%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 16%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 29%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 61%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 78%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 63%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 15%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 77%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 16%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 64%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 61%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 64%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 17%, Core2:  0%,
NPU load:  Core0: 77%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 62%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 63%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 29%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 62%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 16%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 64%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 16%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 64%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 60%, Core1: 30%, Core2:  0%,
NPU load:  Core0: 60%, Core1: 31%, Core2:  0%,
NPU load:  Core0: 77%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 58%, Core1: 31%, Core2:  0%,
NPU load:  Core0: 77%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 76%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 17%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 77%, Core1: 16%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 16%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 80%, Core1: 15%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 64%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 59%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 63%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 65%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 17%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 63%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 54%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 61%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 63%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 63%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 65%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 61%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 63%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 64%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 65%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 61%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 77%, Core1: 16%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 64%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 63%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 64%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 17%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 65%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 65%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 17%, Core2:  0%,
NPU load:  Core0: 68%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 29%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 65%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 78%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 76%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 76%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 74%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 73%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 17%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 61%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 69%, Core1: 22%, Core2:  0%,
NPU load:  Core0: 65%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 44%, Core1: 19%, Core2:  0%,
NPU load:  Core0: 76%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 65%, Core1: 23%, Core2:  0%,
NPU load:  Core0: 71%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 21%, Core2:  0%,
NPU load:  Core0: 76%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 62%, Core1: 27%, Core2:  0%,
NPU load:  Core0: 70%, Core1: 20%, Core2:  0%,
NPU load:  Core0: 67%, Core1: 28%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 65%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 76%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 72%, Core1: 26%, Core2:  0%,
NPU load:  Core0: 76%, Core1: 18%, Core2:  0%,
NPU load:  Core0: 66%, Core1: 25%, Core2:  0%,
NPU load:  Core0: 65%, Core1: 24%, Core2:  0%,
NPU load:  Core0: 75%, Core1: 20%, Core2:  0%,
